"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_read_csv_data","tests","2026-05-16","passed","2026-05-16","","test_csv_Data_read","",""
"","2","test_api","tests","2026-05-16","passed","2026-05-16","","test_data_mocking_Api","",""
